fecha_compra,id_proveedor,id_central_generacion,id_combustible,id_unidad_medida,documento_referencia,linea_documento,cantidad,precio_unitario,importe_total,moneda,fuente,observaciones,es_activo,created_at,updated_at,created_by,archivo_origen,fecha_carga,usuario_carga
2017-07-01,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170701,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-02,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170702,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-03,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170703,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-04,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170704,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-05,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170705,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-06,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170706,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-07,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170707,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-08,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170708,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-09,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170709,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
2017-07-10,6bc2fbe4-3a34-4837-a3d8-8162e642ba3a,1a3dde4b-6f67-49db-ac6e-7578d0af0d95,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,COMPRA-GN-SALT-20170710,1,0.0000,0.000000,0.00,MXN,respaldo_excel,Fila diaria de respaldo para compras de gas natural.,false,,,,compras_combustible.csv,,
