sociedad_sap,fondo_sap,centro_gestor_sap,pospre_sap,cuenta_sap,acreedor_sap,contrato_sap,proveedor,rfc_proveedor,lugar_servicio_id,numero_contrato,nombre_contrato,plurianual,tipo_entrega,moneda_documento,numero_oficio_tramite,fecha_oficio_tramite,numero_factura,fecha_factura,periodo_contable,estimado,concepto,importe_moneda_original,iva_moneda_original,total_moneda_original,numero_documento_pasivo,fecha_contable_pasivo,tc_contable_pasivo,importe_pasivo_mxn,iva_pasivo_mxn,total_pasivo_mxn,reviso,comentarios
N000,A01,N332,7237,468074,9011030,800835851,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,518; NC 621,,,,GNI,,0,0,180000274,20/10/2017,,72146108.12,11543377.3,83689485.42,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 714,,,,GNI,,0,0,180000697,23/11/2017,,9907007.483,1585121.197,11492128.68,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 648,,,,GNI,,0,0,180000696,23/11/2017,,102744755.4,16439160.86,119183916.2,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 648,,,,GNI,,0,0,180000696,23/11/2017,,102744755.4,16439160.86,119183916.2,,
N000,A01,N332,7237,468074,9011030,800835851,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,518; NC 621,,,,GNI,,0,0,180000274,20/10/2017,,72146108.12,11543377.3,83689485.42,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 714,,,,GNI,9907007.483,1585121.197,11492128.68,180000697,23/11/2017,,9907007.483,1585121.197,11492128.68,,
N000,A01,N331,7237,468074,9011030,800835850,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 519,,,,GNI,,0,0,180000276,20/10/2017,,98034243.5,15685478.96,113719722.5,,
N000,A01,N331,7237,468074,9011030,800835850,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 519,,,,GNI,,0,0,180000276,20/10/2017,,98034243.5,15685478.96,113719722.5,,
N000,A01,N331,7237,468074,9011030,800835389,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 649,,,,GNI,,0,0,180000698,23/11/2017,,39613070.26,6338091.241,45951161.5,,
N000,A01,N331,7237,468074,9011030,800835389,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 649,,,,GNI,,0,0,180000698,23/11/2017,,39613070.26,6338091.241,45951161.5,,
