sociedad_sap,fondo_sap,centro_gestor_sap,pospre_sap,cuenta_sap,acreedor_sap,contrato_sap,proveedor,rfc_proveedor,lugar_servicio_id,numero_contrato,nombre_contrato,plurianual,tipo_entrega,moneda_documento,numero_oficio_tramite,fecha_oficio_tramite,numero_factura,fecha_factura,periodo_contable,estimado,concepto,importe_moneda_original,iva_moneda_original,total_moneda_original,numero_documento_pasivo,fecha_contable_pasivo,tc_contable_pasivo,importe_pasivo_mxn,iva_pasivo_mxn,total_pasivo_mxn,reviso,comentarios
N000,A01,N332,7237,468074,9011030,800835851,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,518; NC 621,,,,GNI,,0,0,180000274,20/10/2017,,72146108.12,11543377.3,83689485.42,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 714,,,,GNI,,0,0,180000697,23/11/2017,,9907007.483,1585121.197,11492128.68,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 648,,,,GNI,,0,0,180000696,23/11/2017,,102744755.4,16439160.86,119183916.2,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 648,,,,GNI,,0,0,180000696,23/11/2017,,102744755.4,16439160.86,119183916.2,,
N000,A01,N332,7237,468074,9011030,800835851,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,518; NC 621,,,,GNI,,0,0,180000274,20/10/2017,,72146108.12,11543377.3,83689485.42,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,F 714,,,,GNI,9907007.483,1585121.197,11492128.68,180000697,23/11/2017,,9907007.483,1585121.197,11492128.68,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2205,2266,NC582",,,,GNI,,0,0,180004153,18/10/2018,,145853766.7,23336602.66,169190369.3,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,791; NC66; NC65; NC43,,,,GNI,,0,0,180001143,14/12/2017,,151369075.9,24219052.14,175588128,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,791; NC66; NC65; NC43,,,,GNI,,0,0,180001143,14/12/2017,,151369075.9,24219052.14,175588128,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"F 1039, F 1038",,,,GNI,,0,0,180000140,22/01/2018,,147201981.3,23552317.02,170754298.4,,
