id,created_at,archivo_origen,sociedad_sap,fondo_sap,centro_gestor_sap,pospre_sap,cuenta_sap,acreedor_sap,contrato_sap,proveedor,rfc_proveedor,lugar_servicio_id,numero_contrato,nombre_contrato,plurianual,tipo_entrega,moneda_documento,numero_oficio_tramite,fecha_oficio_tramite,numero_factura,fecha_factura,periodo_contable,estimado,concepto,importe_moneda_original,iva_moneda_original,total_moneda_original,numero_documento_pasivo,fecha_contable_pasivo,tc_contable_pasivo,importe_pasivo_mxn,iva_pasivo_mxn,total_pasivo_mxn,reviso,comentarios
7c84a8c0-6b0a-4596-bbd9-de6d23daaba5,2026-01-09 01:02:41.585115+00,,N000,A01,N306,7A13,453857,4326979,800832451,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-003/2018,,FE-250,,,false,CFT,4240081.97,678413.11,4918495.08,180000006,2018-01-08,19.242700,81590625.24,13054500.04,94645125.28,,
27515751-11ef-42fa-8ec0-a122c2a46714,2026-01-09 01:02:41.585115+00,,N000,A01,N306,7A13,453857,4326979,800832451,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-003/2018,,FE-250,,,false,CFT,419348.76,67095.80,486444.56,180000007,2018-01-08,19.242700,8069402.36,1291104.38,9360506.73,,
309bbd31-fbf0-4c2d-822b-0280cefdade9,2026-01-09 01:02:41.585115+00,,N000,A01,N306,7A14,453858,4326979,800832773,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-003/2018,,FE-250,,,false,CVT,2109.21,337.47,2446.68,180000012,2018-01-08,19.242700,40586.84,6493.89,47080.73,,
60469f74-674d-467d-a0af-f0c75993fc40,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2280,453851,4326979,800869674,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-007/2019,,358 FE,,,false,CFT,4193478.66,670956.58,4864435.24,180000019,2019-01-08,19.490200,81731737.69,13077078.03,94808815.71,,
0ffdd004-06be-41ba-944e-1dbdf1c29a67,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2280,453851,4326979,800869674,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-007/2019,,358 FE,,,false,CFT,465952.07,74552.33,540504.40,180000020,2019-01-08,19.490200,9081499.03,1453039.85,10534538.88,,
343ede80-c919-4abd-8fd1-7aa93f83d9c0,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2280,453851,4326976,800869676,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA-INTERCONEXION ENCINO,,servicio,USD,SREN-007/2019,,359 FE,,,false,CFT,447053.49,71528.56,518582.05,180000021,2018-01-08,19.490200,8713161.96,1394105.91,10107267.87,,
f3fbb1a8-68cd-48f2-baee-6d0a8ad58a07,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800869678,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-007/2019,,"360 FE, 358 FE",,,false,CVT,4661594.79,745855.17,5407449.96,180000025,2019-01-08,19.490200,90855414.78,14536866.36,105392281.14,,
721717c9-f10f-4b7b-b60a-2922dc425974,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-010/2023,,954 FE,,,false,CVT,383.92,61.43,445.35,180000025,2023-01-11,19.356800,7431.46,1189.03,8620.50,,
cc7cadc3-f0f7-48c6-b4df-8b8d92e935ce,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-010/2023,,956 FE,,,false,CVT,278.12,44.50,322.62,180000026,2023-01-11,19.356800,5383.51,861.36,6244.88,,
69d61d7e-a3e9-4a4a-a4af-349e9eb93f15,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-010/2023,,955 FE,,,false,CVT,152.35,24.38,176.73,180000027,2023-01-11,19.356800,2949.01,471.84,3420.85,,
a3e008aa-655b-404b-b652-09134b5571f1,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-011/2024,,1103 FE,,,false,CVT,2.55,0.41,2.96,180000037,2024-01-09,17.045800,43.47,6.95,50.42,,
7e0856f4-9190-4d23-be97-88d6541d2140,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-011/2024,,1104 FE,,,false,CVT,44.36,7.10,51.46,180000038,2024-01-09,17.045800,756.15,120.98,877.14,,
950de76b-33cb-4acd-bb72-edd02c65f3f1,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-011/2024,,1105 FE,,,false,CVT,162.57,26.01,188.58,180000039,2024-01-09,17.045800,2771.14,443.38,3214.52,,
880a8e5c-50f4-46fe-9dad-2f6be006fe0a,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-003/2024,,55 NCE,,,false,CVT,-401.22,-64.20,-465.42,180000040,2024-01-09,17.045800,-6839.12,-1094.26,-7933.37,,
e51b8c5d-1fa3-45f9-82be-d4fc6c57d0c8,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-003/2024,,56 NCE,,,false,CVT,-8077.50,-1292.40,-9369.90,180000040,2024-01-09,17.045800,-137687.45,-22029.99,-159717.44,,
5f52c878-33dc-4398-8196-42f66bb30802,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-015/2025,,1293 FE,,,false,CVT,71.03,11.36,82.39,180000040,2025-01-09,20.670800,1468.25,234.92,1703.17,,
d740a288-2f81-4225-8c07-03687690de2c,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-015/2025,,57 NCE,,,false,CVT,-294.41,-47.11,-341.52,180000042,2025-01-09,20.670800,-6085.69,-973.71,-7059.40,,
7d9cffbf-8004-4854-acfe-106ce6e483d8,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-015/2025,,58 NCE,,,false,CVT,-83.12,-13.30,-96.42,180000042,2025-01-09,20.670800,-1718.16,-274.91,-1993.06,,
643a0815-f2fe-4b4a-84e1-fe6c66d2c926,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-015/2025,,59 NCE,,,false,CVT,-2082.68,-333.23,-2415.91,180000042,2025-01-09,20.670800,-43050.66,-6888.11,-49938.77,,
814e25cc-9dae-4d44-8bf6-5c3ffe06503b,2026-01-09 01:02:41.585115+00,,N000,A01,N306,2280,453851,4326979,800912792,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-FP-011/2022,,806 FE,,,false,CFT,4690913.36,750546.14,5441459.50,180000059,2022-01-10,20.400000,95683843.44,15309414.95,110993258.39,,
2b46f720-96a8-46e7-b489-909e50ae7fcb,2026-01-09 01:02:41.585115+00,,2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,servicio,USD,SREN-04/2015,,FE-05,,,false,CFT,4521956.53,723513.04,5245469.57,180000060,2015-01-08,14.850000,67141558.36,10742649.34,77884207.70,,
