id_central_generacion,nombre_central,ubicacion_estado,ubicacion_municipio,tipo_central,estado_operacion,capacidad_mw,combustible_principal,combustible_secundario,created_at,updated_at,observaciones,archivo_origen,fecha_carga,usuario_carga
0a84d231-be05-4192-82bc-f4fbeee536d7,CTG  Fundidora,Nuevo Leon,Monterrey,Central Termoelectrica,operando,14,Gas Natural,,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
0adf6170-0562-4448-b1ba-3b50322c0a2c,CCC Norte III,Chihuahua,Samalayuca,Central Ciclo Combinado,operando,907,Gas Natural,,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
13ed5fde-9f87-4f5e-a4c7-2e306d95c7f7,CCC Río Bravo II (Anáhuac),Tamaulipas,Río Bravo,Central Ciclo Combinado,operando,495,"Gas Natural ","Diesel ",2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
1a3dde4b-6f67-49db-ac6e-7578d0af0d95,CCC Saltillo,Coahuila,Ramos Arispe,Central Ciclo Combinado,operando,248,Gas Natural,Diesel,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
1f7604b6-f737-4110-b487-e4d7aa4c83bb,CT  Samalayuca B. Juarez,Chihuahua,Samalayuca,Central Termoelectrica,operando,316,"Gas Natural ",Combustóleo,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
23176d67-a1e8-4d62-9349-a054c3614655,CCC Huinala,Nuevo Leon,Pesqueria,Central Ciclo Combinado,operando,377.6,Gas Natural,,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
30842173-91ed-4f31-adb5-16506005048c,CT Francisco Villa,Chihuahua,"Delicias ","Central Termoeléctrica ",operando,316,"Gas Natural ",Combustoleo    Diesel (Pilotos),2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
33a9ca07-6c37-4e2d-b17e-c28115a58fe6,CT Emilio Portes Gil (U3),Tamaulipas,Río Bravo,Central Termoelectrica,operando,300,Gas Natural,,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
3f7deac6-b458-4ab3-9f1a-24adbdf26dfa,CTG  Industrial,Chihuahua,Cd. Juárez,Central Turbo Gas,operando,20,Diesel,,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
40132d75-d79b-48ba-959b-161fb6e41f36,CCC  Samalayuca II,Chihuahua,Samalayuca,Central Ciclo Combinado,operando,690,Gas Natural,,2026-01-16 15:53:37.555073,2026-01-16 15:53:37.555073,,,2026-01-16 15:53:37.555073,
